SMILES,Activity
O=C1C(CC=2C(=O)Oc3c(C=2O)cccc3)=C(O)c2c(O1)cccc2,0
COc1cc(C)c(\C=C\C(=C\C=C\C(=C\C(=O)O)\C)\C)c(C)c1C,0
Clc1c(C(=O)O)cc(S(=O)(=O)N2C[C@H](C)C[C@H](C)C2)cc1,0
Fc1c(N2CCNCC2)cc2N(CC)C=C(C(=O)O)C(=O)c2c1,1
OCNC(=O)N(CO)C1N(CO)C(=O)N(CO)C1=O,0
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,0
Oc1cccc(O)c1,0
CC1=C(C=C(C#N)C(=O)N1)c2ccncc2,0
CCOc1ccc2ccccc2c1C(=O)NC3C4SC(C)(C)C(N4C3=O)C(=O)O,1
O[C@@H](CNCCCCc1ccc(O)cc1)c1cc(O)c(O)cc1,0
Ic1c(NC(=O)C)c(I)c(C(=O)NCCO)c(I)c1C(=O)O,0
O(C)c1c2[C@H](O)N(C)CCc2cc2OCOc12,0
OC(CCN1CCCC1)(C2CCCCC2)c3ccccc3,0
CO[C@H](C[Hg+])CNC(=O)c1ccccc1OCC(=O)[O-],0
CS(=O)(=O)Nc1ccc(cc1Oc2ccccc2)[N+](=O)[O-],1
O=[N+]([O-])c1cc([N+](=O)[O-])c(S(=O)(=O)[O-])c([N+](=O)[O-])c1,1
Clc1ccc2N=C3NC(=O)CN3Cc2c1Cl,1
FS(F)(F)(F)(F)F,0
O([C@@H](/C=C/n1cncc1)CCCCC)Cc1ccccc1,0
Fc1c2c(ccc1)CN(NC1=NCCN1)C2,0
C[C@]12C=CC(=O)C(N)=C1C=CC1C2CC[C@]2(C)C(=O)CCC12,0
O([C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)c1cc(O)cc(/C=C/c2ccc(O)cc2)c1,0
[P@@](=O)(Oc1ccccc1)(NC(C(=O)OC(C)C)C)COC(Cn1c2ncnc(N)c2nc1)C,0
ClC(Cl)Cl,0
CN(C)CCN1CCC(Cc2ccccc2)CC1,0
